Board_Action_Indicator,Business_Name,County,County_Description,Email,Expire_Date,License_Active_Status_Description,License_Number,License_Status_Description,Mailing_Address_Area_Code,Mailing_Address_City,Mailing_Address_Line1,Mailing_Address_Phone_Extension,Mailing_Address_Phone_Number,Mailing_Address_State,Mailing_Address_ZIPcode,Mailing_Address_line2,Original_Date,Practice_Location_Address_City,Practice_Location_Address_Line1,Practice_Location_Address_State,Practice_Location_Address_ZIPcode,Practice_Location_Address_line2,Prescribe_Ind,Profession_Name,Rank_Code,Status_Effective_Date,address,address_administrative_area_level_1,address_administrative_area_level_2,address_country,address_formatted_address,address_lat,address_locality,address_lon,address_msg,address_neighborhood,address_postal_code,address_postal_code_suffix,address_route,address_street_number,address_subpremise,id,norm_id,index,lic_id,labels,correct_labels
N,THE OASIS SPA LLC,63,POLK,the_oasis_spa@yahoo.com,8/31/17,,20448,Null & Void,863,LAKE WALES,245 E. PARK AVE,,232-6968,FL,33853,,10/17/07,LAKE WALES,245 E PARK AVE,FL,33853,,N,Massage Establishment,MM,3/15/18,"245 E PARK AVE, LAKE WALES, FL 33853",Florida,Polk County,United States,"245 E Park Ave, Lake Wales, FL 33853, USA",27.9028896,Lake Wales,-81.5872428,OK,,33853,3705,East Park Avenue,245,,27.90289:-81.58724,27.90289:-81.58724#,massage,19711,0,0
N,ZANE & CO. HAIR SALON DBA CASABLANCA BEAUTY CENTRE,26,DUVAL,casablancabeauty@comcast.net,8/31/19,,458,CLEAR,904,JACKSONVILLE,4209 ST JOHNS AVE,,389-5533,FL,32210,,8/28/84,JACKSONVILLE,4209 ST JOHNS AVE,FL,32210,,N,Massage Establishment,MM,1/1/01,"4209 ST JOHNS AVE, JACKSONVILLE, FL 32210",Florida,Duval County,United States,"4209 St Johns Ave, Jacksonville, FL 32210, USA",30.2889562,Jacksonville,-81.7139181,OK,Lakeshore South,32210,2101,Saint Johns Avenue,4209,,30.28896:-81.71392,30.28896:-81.71392#,massage,50,0,0
N,ALYCE AND COMPANY,53,MARTIN,alyceandcompany@yahoo.com,8/31/19,,18982,CLEAR,772,STUART,2435 SE DIXIE HWY,,288-0820,FL,34996,,11/8/06,STUART,2435 SE DIXIE HWY,FL,34996,,N,Massage Establishment,MM,11/8/06,"2435 SE DIXIE HWY, STUART, FL 34996",Florida,Martin County,United States,"2435 SE Dixie Hwy, Stuart, FL 34996, USA",27.1776735,Stuart,-80.2318867,OK,,34996,,Southeast Dixie Highway,2435,,27.17767:-80.23189,27.17767:-80.23189#,massage,17862,0,0
N,SUSAN D. KOREM LMT,70,SUMTER,susankoremlmt101@aol.com,8/31/15,,22848,Null & Void,352,WILDWOOD,40 BIG OAK LANE,,409-1203,FL,34785,,4/1/09,WILDWOOD,3608 Kiessel Road,FL,34785,,N,Massage Establishment,MM,4/4/16,"3608 Kiessel Road, WILDWOOD, FL 34785",Florida,Sumter County,United States,"3608 Kiessel Rd, The Villages, FL 32163, USA",28.8459357,The Villages,-82.0230671,OK,,32163,,Kiessel Road,3608,,28.84594:-82.02307,28.84594:-82.02307#,massage,22132,0,0
N,PENSACOLA NAIL LOUNGE INC D/B/A THE NAIL LOUNGE,27,ESCAMBIA,,8/31/15,,26036,VOL-RELINQ,850,PENSACOLA,4405 BAYOU BLVD,,332-5593,FL,32505,,11/30/10,PENSACOLA,4405 BAYOU BLVD,FL,32505,,N,Massage Establishment,MM,10/31/14,"4405 BAYOU BLVD, PENSACOLA, FL 32505",Florida,Escambia County,United States,"4405 Bayou Blvd, Pensacola, FL 32503, USA",30.4669693,Pensacola,-87.2057151,OK,,32503,2601,Bayou Boulevard,4405,,30.46697:-87.20572,30.46697:-87.20572#,massage,25434,0,0
N,NORTH TAMPA SPINE & JOINT CENTER,39,HILLSBOROUGH,,8/31/15,,24727,VOL-RELINQ,813,TAMPA,17429 BRIDGE HILL CT,,983-7921,FL,33647,,4/8/10,TAMPA,17429 BRIDGE HILL CT,FL,33647,,N,Massage Establishment,MM,9/9/14,"17429 BRIDGE HILL CT, TAMPA, FL 33647",Florida,Hillsborough County,United States,"17429 Bridge Hill Ct, Tampa, FL 33647, USA",28.1283998,Tampa,-82.3812822,OK,New Tampa,33647,3467,Bridge Hill Court,17429,,28.12840:-82.38128,28.12840:-82.38128#,massage,24163,0,0
N,"MD BEAUTY LABS, P.A.",60,PALM BEACH,jennifer@mdbeautylabs.com,8/31/17,,23612,VOL-RELINQ,561,WEST PALM BEACH,320 S QUADRILLE BLVD,,655-6325,FL,33401,,9/8/09,WEST PALM BEACH,320 S QUADRILLE BLVD,FL,33401,UNIT 101,N,Massage Establishment,MM,11/8/16,"320 S QUADRILLE BLVD, WEST PALM BEACH, FL 33401",Florida,Palm Beach County,United States,"320 S Quadrille Blvd, West Palm Beach, FL 33401, USA",26.711019,West Palm Beach,-80.054955,OK,Downtown,33401,5305,South Quadrille Boulevard,320,,26.71102:-80.05496,26.71102:-80.05496#,massage,23043,0,0
N,ALLURE DAY SPA,16,BROWARD,alluredayspa@gmail.com,8/31/19,,12704,CLEAR,954,DAVIE,2056 S. UNIVERSITY DRIVE,,472-9290,FL,33324,,3/21/03,DAVIE,2056 S UNIVERSITY DR,FL,33324,,N,Massage Establishment,MM,9/23/13,"2056 S UNIVERSITY DR, DAVIE, FL 33324",Florida,Broward County,United States,"2056 S University Dr, Davie, FL 33324, USA",26.0949132,Davie,-80.2503114,OK,,33324,5850,South University Drive,2056,,26.09491:-80.25031,26.09491:-80.25031#,massage,11302,0,0
Y,L`URAL SPA,68,SARASOTA,larisa1662@yahoo.com,8/31/19,,16855,CLEAR,941,SARASOTA,2485 WATERVIEW CT,,224-3980,FL,34231,,6/14/05,SARASOTA,3436 BEE RIDGE ROAD,FL,34239,,N,Massage Establishment,MM,6/14/05,"3436 BEE RIDGE ROAD, SARASOTA, FL 34239",Florida,Sarasota County,United States,"3436 Bee Ridge Rd, Sarasota, FL 34239, USA",27.2984897,Sarasota,-82.5009297,OK,,34239,7260,Bee Ridge Road,3436,,27.29849:-82.50093,27.29849:-82.50093#,massage,15843,0,0
N,"Awaken514, INC",47,LEON,trena.giddens@gmail.com,8/31/19,,9984,CLEAR,850,TALLAHASSEE,3415 North Monroe Street,1473,-509,FL,32303,,2/21/00,TALLAHASSEE,3415 N. MONROE ST.,FL,32303,,N,Massage Establishment,MM,12/1/17,"3415 N. MONROE ST., TALLAHASSEE, FL 32303",Florida,Leon County,United States,"3415 N Monroe St, Tallahassee, FL 32303, USA",30.4911148,Tallahassee,-84.3228749,OK,,32303,2742,North Monroe Street,3415,,30.49111:-84.32287,30.49111:-84.32287#,massage,8298,0,0
N,XTREME MEDICAL CENTER CORP.,23,MIAMI-DADE,yanelysfundora2@yahoo.com,8/31/13,,27296,Null & Void,305,MIAMI,12809 SW 42 ST,,229-1589,FL,33175,,7/11/11,MIAMI,12809 SW 42 ST,FL,33175,,N,Massage Establishment,MM,3/17/14,"12809 SW 42 ST, MIAMI, FL 33175",Florida,Miami-Dade County,United States,"12809 SW 42nd St, Miami, FL 33175, USA",25.7302792,Miami,-80.402077,OK,,33175,,Southwest 42nd Street,12809,,25.73028:-80.40208,25.73028:-80.40208#,massage,27075,0,0
N,"ALEXANDRA HEALTHCARE, LLC",58,ORANGE,cvail@alexandrahealthcare.com,8/31/15,,14386,VOL-RELINQ,407,ORLANDO,110 N. KIRKMAN ROAD,,291-1000,FL,32811,,1/2/04,ORLANDO,110 N. KIRKMAN ROAD,FL,32811,,N,Massage Establishment,MM,10/24/14,"110 N. KIRKMAN ROAD, ORLANDO, FL 32811",Florida,Orange County,United States,"110 N Kirkman Rd, Orlando, FL 32835, USA",28.5435022,Orlando,-81.4586035,OK,,32835,,North Kirkman Road,110,,28.54350:-81.45860,28.54350:-81.45860#,massage,12808,0,0
N,SHIATSU MASSAGE,60,PALM BEACH,wellajin125@gmail.com,8/31/15,,25440,Null & Void,561,LAKE WORTH,7114 S. MILITARY TRAIL,,899-3056,FL,33463,,8/23/10,LAKE WORTH,7100 SOUTH MILITARY TRAIL,FL,33463,STORE 7 OF HYPOLUXO PLAZA,N,Massage Establishment,MM,4/4/16,"7100 SOUTH MILITARY TRAIL, LAKE WORTH, FL 33463",Florida,Palm Beach County,United States,"7100 S Military Trail, Lake Worth, FL 33463, USA",26.5705626,Lake Worth,-80.1127164,OK,,33463,7812,South Military Trail,7100,,26.57056:-80.11272,26.57056:-80.11272#,massage,25175,0,0
N,INSTYLE BEAUTY SALON,23,MIAMI-DADE,instyle.bsalon@gmail.com,8/31/13,,27282,Null & Void,305,HOMESTEAD,1586 NE 8TH ST.,,248-6500,FL,33030,,7/11/11,HOMESTEAD,1586 NE 8TH ST,FL,33030,,N,Massage Establishment,MM,3/17/14,"1586 NE 8TH ST, HOMESTEAD, FL 33030",Florida,Miami-Dade County,United States,"1586 NE 8th St, Homestead, FL 33033, USA",25.4770381,Homestead,-80.4552285,OK,,33033,,Northeast 8th Street,1586,,25.47704:-80.45523,25.47704:-80.45523#,massage,27167,0,0
N,GRANNY PRIDDLES'S MASSAGE,11,ALACHUA,drpowell@drpowellhealth.com,8/31/17,,22033,Null & Void,352,NEWBERRY,14212 W NEWBERRY RD,,331-9229,FL,32669,,9/30/08,NEWBERRY,14212 W NEWBERRY RD,FL,32669,,N,Massage Establishment,MM,3/15/18,"14212 W NEWBERRY RD, NEWBERRY, FL 32669",Florida,Alachua County,United States,"14212 W Newberry Rd, Newberry, FL 32669, USA",29.6553323,Newberry,-82.4952397,OK,,32669,2765,West Newberry Road,14212,,29.65533:-82.49524,29.65533:-82.49524#,massage,21383,0,0
N,THE FINISHING TOUCH,59,OSCEOLA,carolyn@cianciotta.com,8/31/19,,17158,CLEAR,407,SAINT CLOUD,1129 PENNSYLVANIA AVENUE,,957-9771,FL,34769,,8/31/05,SAINT CLOUD,1129 PENNSYLVANIA AVENUE,FL,34769,,N,Massage Establishment,MM,8/31/05,"1129 PENNSYLVANIA AVENUE, SAINT CLOUD, FL 34769",Florida,Osceola County,United States,"1129 Pennsylvania Ave, St Cloud, FL 34769, USA",28.2471757,St. Cloud,-81.2821862,OK,,34769,3749,Pennsylvania Avenue,1129,,28.24718:-81.28219,28.24718:-81.28219#,massage,16079,0,0
N,ACTION CHIROPRACTIC & ASSOCIATES LLC,58,ORANGE,,8/31/13,,14331,Null & Void,407,ORLANDO,415 EAST MICHIGAN STREET,,423-1616,FL,32806,,12/29/03,ORLANDO,415 EAST MICHIGAN STREET,FL,32806,,N,Massage Establishment,MM,3/17/14,"415 EAST MICHIGAN STREET, ORLANDO, FL 32806",Florida,Orange County,United States,"415 E Michigan St, Orlando, FL 32806, USA",28.5133164,Orlando,-81.3714048,OK,Wadeview Park,32806,4554,East Michigan Street,415,,28.51332:-81.37140,28.51332:-81.37140#,massage,12793,0,0
N,DEMA REHAB & INJURY CLINIC INC,58,ORANGE,wadidc@yahoo.com,8/31/15,,19451,Null & Void,407,ORLANDO,7758 WALLACE RD,,352-5882,FL,32819,STUITE A,2/26/07,ORLANDO,7758 WALLACE RD,FL,32819,STUITE A,N,Massage Establishment,MM,4/4/16,"7758 WALLACE RD, ORLANDO, FL 32819",Florida,Orange County,United States,"7758 Wallace Rd, Orlando, FL 32819, USA",28.4604702,Orlando,-81.4907687,OK,,32819,,Wallace Road,7758,,28.46047:-81.49077,28.46047:-81.49077#,massage,18273,0,0
N,PHYSICAL MEDICINE CENTER OF DEBARY,74,VOLUSIA,cfpmllc@gmail.com,8/31/13,,26595,Null & Void,386,DEBARY,2955 ENTERPRISE RD,,668-9999,FL,32713,#B-101,3/23/11,DEBARY,2955 ENTERPRISE ROAD,FL,32713,#C-102,N,Massage Establishment,MM,3/17/14,"2955 ENTERPRISE ROAD, DEBARY, FL 32713",Florida,Volusia County,United States,"2955 Enterprise Rd, DeBary, FL 32713, USA",28.8962497,DeBary,-81.2833258,OK,,32713,2711,Enterprise Road,2955,,28.89625:-81.28333,28.89625:-81.28333#,massage,26462,0,0
N,"CHRISTINA M. MITCHELL, LLC",21,COLLIER,iamchristinamitchell@gmail.com,8/31/21,,22673,CLEAR,239,NAPLES,822 ANCHOR RODE,,293-0960,FL,34103,,2/18/09,NAPLES,822 ANCHOR RODE DR,FL,34103,,N,Massage Establishment,MM,2/18/09,"822 ANCHOR RODE DR, NAPLES, FL 34103",Florida,Collier County,United States,"822 Anchor Rode Dr, Naples, FL 34103, USA",26.1880098,Naples,-81.80143,OK,Moorings,34103,,Anchor Rode Drive,822,,26.18801:-81.80143,26.18801:-81.80143#,massage,22059,0,0
N,"ACTIVELIFE FAMILY CHIROPRACTIC, INC",46,LEE,drcartales@gmail.com,8/31/15,,24929,VOL-RELINQ,239,CAPE CORAL,1712 CAPE CORAL PARKWAY EAST,,540-5433,FL,33904,,5/14/10,CAPE CORAL,1712 CAPE CORAL PARKWAY EAST,FL,33904,,N,Massage Establishment,MM,1/8/15,"1712 CAPE CORAL PARKWAY EAST, CAPE CORAL, FL 33904",Florida,Lee County,United States,"1712 Cape Coral Pkwy E, Cape Coral, FL 33904, USA",26.5623643,Cape Coral,-81.9411626,OK,,33904,,Cape Coral Parkway East,1712,,26.56236:-81.94116,26.56236:-81.94116#,massage,24487,0,0
N,"BLUSH DAY SPA, INC.",69,SEMINOLE,blushdayspainc@gmail.com,8/31/21,,16139,CLEAR,407,ALTAMONTE SPRINGS,990  N State Road 434,,770-6666,FL,32714,Suites 1132-1136,12/16/04,ALTAMONTE SPRINGS,990 N State Road 434,FL,32714,Suites 1132-1136,N,Massage Establishment,MM,11/16/15,"990 N State Road 434, ALTAMONTE SPRINGS, FL 32714",Florida,Seminole County,United States,"990 N State Rd 434, Altamonte Springs, FL 32714, USA",28.6827394,Altamonte Springs,-81.4197855,OK,,32714,,North State Road 434,990,,28.68274:-81.41979,28.68274:-81.41979#,massage,14844,0,0
N,OCEAN VIBES INC.,65,ST.JOHNS,oceanvibes@att.net,8/31/19,,16528,CLEAR,904,SAINT AUGUSTINE,305 4TH STREET,,826-6688,FL,32084,,4/8/05,SAINT AUGUSTINE,3 SEBASTIAN AVENUE,FL,32084,,N,Massage Establishment,MM,4/8/05,"3 SEBASTIAN AVENUE, SAINT AUGUSTINE, FL 32084",Florida,St. Johns County,United States,"3 Sebastian Ave, St. Augustine, FL 32084, USA",29.9049491,St. Augustine,-81.3186456,OK,Historic District,32084,3280,Sebastian Avenue,3,,29.90495:-81.31865,29.90495:-81.31865#,massage,15489,0,0
N,EAST ORANGE WELLNESS & INJURY CENTER,58,ORANGE,dreric@eowaic.com,8/31/15,,18945,VOL-RELINQ,407,ORLANDO,3020 LAMBERTON BLVD,,382-2425,FL,32825,#105,10/30/06,ORLANDO,3020 LAMBERTON BLVD,FL,32825,#105,N,Massage Establishment,MM,10/24/14,"3020 LAMBERTON BLVD, ORLANDO, FL 32825",Florida,Orange County,United States,"3020 Lamberton Blvd, Orlando, FL 32825, USA",28.509367,Orlando,-81.2368672,OK,,32825,9124,Lamberton Boulevard,3020,,28.50937:-81.23687,28.50937:-81.23687#,massage,18041,0,0
N,"SUPREME THERAPEUTIC MEDICAL CENTER, LLC",60,PALM BEACH,,8/31/13,,23263,Null & Void,561,LAKE WORTH,2121 10TH AVE NORTH,,585-7474,FL,33460,,6/17/09,LAKE WORTH,2121 10TH AVE NORTH,FL,33460,,N,Massage Establishment,MM,3/17/14,"2121 10TH AVE NORTH, LAKE WORTH, FL 33460",Florida,Palm Beach County,United States,"2121 10th Ave N, Lake Worth, FL 33461, USA",26.6272042,Lake Worth,-80.0740925,OK,,33461,3345,10th Avenue North,2121,,26.62720:-80.07409,26.62720:-80.07409#,massage,22759,0,0
N,ESSENTIALS MASSAGE AND FACIAL OF NEW TAMPA,61,PASCO,rebferreira@gmail.com,8/31/13,,26694,Null & Void,347,WESLEY CHAPEL,2230 ASHLEY OAKS CIRCLE,,331-2242,FL,33455,SUITE 101 AND 102,4/8/11,WESLEY CHAPEL,2230 ASHLEY OAKS CIRCLE,FL,33544,,N,Massage Establishment,MM,3/17/14,"2230 ASHLEY OAKS CIRCLE, WESLEY CHAPEL, FL 33544",Florida,Pasco County,United States,"2230 Ashley Oaks Cir, Wesley Chapel, FL 33544, USA",28.1890476,Wesley Chapel,-82.3617386,OK,,33544,6429,Ashley Oaks Circle,2230,,28.18905:-82.36174,28.18905:-82.36174#,massage,26746,0,0
N,"SOUTH FLORIDA WELLNESS, INC",23,MIAMI-DADE,fixemboneszd@gmail.com,8/31/19,,27530,CLEAR,305,NORTH MIAMI,17230 WEST DIXIE HGWY,,948-9777,FL,33160,,8/15/11,NORTH MIAMI,17230 WEST DIXIE HGWY,FL,33160,,N,Massage Establishment,MM,9/30/13,"17230 WEST DIXIE HGWY, NORTH MIAMI, FL 33160",Florida,Miami-Dade County,United States,"17230 W Dixie Hwy, North Miami Beach, FL 33160, USA",25.9350954,North Miami Beach,-80.1522129,OK,,33160,4816,West Dixie Highway,17230,,25.93510:-80.15221,25.93510:-80.15221#,massage,27212,0,0
N,NAILS STAR,60,PALM BEACH,jsydlxx@yahoo.com,8/31/17,,25815,VOL-RELINQ,561,DELRAY BEACH,3095 S. FEDERAL HWY,,265-3491,FL,33483,,10/27/10,DELRAY BEACH,3095 S. FEDERAL HWY,FL,33483,,N,Massage Establishment,MM,5/10/16,"3095 S. FEDERAL HWY, DELRAY BEACH, FL 33483",Florida,Palm Beach County,United States,"3095 S Federal Hwy, Delray Beach, FL 33483, USA",26.4264183,Delray Beach,-80.0726236,OK,,33483,,South Federal Highway,3095,,26.42642:-80.07262,26.42642:-80.07262#,massage,25606,0,0
N,NAMASTE LIFESTYLE INC,61,PASCO,josephaerickson@yahoo.com,8/31/21,,20104,CLEAR,813,LAND O LAKES,20627 BROADWATER DRIVE,,-,FL,34638,,8/6/07,LUTZ,17673 N DALE MABRY HWY,FL,33548,,N,Massage Establishment,MM,8/6/07,"17673 N DALE MABRY HWY, LUTZ, FL 33548",Florida,Hillsborough County,United States,"17673 N Dale Mabry Hwy, Lutz, FL 33548, USA",28.1263155,Lutz,-82.5008028,OK,,33548,,North Dale Mabry Highway,17673,,28.12632:-82.50080,28.12632:-82.50080#,massage,18919,0,0
N,WASSERMAN CHIROPRACTIC,16,BROWARD,,8/31/15,,13458,VOL-RELINQ,954,CORAL SPRINGS,10394 WEST SAMPLE RD,,755-1980,FL,33065,,11/12/03,CORAL SPRINGS,10394 WEST SAMPLE RD,FL,33065,,N,Massage Establishment,MM,10/29/14,"10394 WEST SAMPLE RD, CORAL SPRINGS, FL 33065",Florida,Broward County,United States,"10394 W Sample Rd, Coral Springs, FL 33065, USA",26.2720708,Coral Springs,-80.2646047,OK,City Center,33065,3970,West Sample Road,10394,,26.27207:-80.26460,26.27207:-80.26460#,massage,12433,0,0
N,"JEANNE MAGICAL TOUCH, INC",74,VOLUSIA,jeannem7690@outlook.com,8/31/19,,23043,CLEAR,386,DELTONA,2291 TIMBER CREST DR,,259-9216,FL,32738,,5/4/09,DELTONA,2291 TIMBER CREST DR,FL,32738,,N,Massage Establishment,MM,2/3/16,"2291 TIMBER CREST DR, DELTONA, FL 32738",Florida,Volusia County,United States,"2291 Timbercrest Dr, Deltona, FL 32738, USA",28.9029346,Deltona,-81.2054704,OK,Deltona Lakes,32738,6260,Timbercrest Drive,2291,,28.90293:-81.20547,28.90293:-81.20547#,massage,22480,0,0
N,"PALM BEACH SHORES RESORT DAY SPA, INC",60,PALM BEACH,lynnlabo@yahoo.com,8/31/19,,20141,CLEAR,561,PALM BEACH SHORES,181 OCEAN AVE,,863-1707,FL,33404,,8/13/07,PALM BEACH SHORES,181 OCEAN AVE,FL,33404,,N,Massage Establishment,MM,8/13/07,"181 OCEAN AVE, PALM BEACH SHORES, FL 33404",Florida,Palm Beach County,United States,"181 S Ocean Ave, Palm Beach Shores, FL 33404, USA",26.7813471,Palm Beach Shores,-80.0331225,OK,,33404,5761,South Ocean Avenue,181,,26.78135:-80.03312,26.78135:-80.03312#,massage,19469,0,0
N,ALEXIS BELLOVICH LMT,68,SARASOTA,bellovich1@yahoo.com,8/31/21,,12891,CLEAR,941,SARASOTA,7101 S. TAMIAMI TRAIL,,544-1859,FL,34231,STE C,6/6/03,SARASOTA,7101 S TAMIAMI TRAIL,FL,34231,STE C,N,Massage Establishment,MM,6/6/03,"7101 S TAMIAMI TRAIL, SARASOTA, FL 34231",Florida,Sarasota County,United States,"7101 S Tamiami Trail, Sarasota, FL 34231, USA",27.253608,Sarasota,-82.515307,OK,,34231,5556,South Tamiami Trail,7101,,27.25361:-82.51531,27.25361:-82.51531#,massage,11545,0,0
N,HAND & STONE MASSAGE AND FACIAL SPA,69,SEMINOLE,dwilliams@handandstone.com,8/31/21,,24351,CLEAR,407,WINTER SPRINGS,1170 TREE SWALLOW DRIVE #328,,804-0005,FL,32708,,1/22/10,LAKE MARY,1210 S INTERNATIONAL PARKWAY,FL,32746,SUITE 114,N,Massage Establishment,MM,1/22/10,"1210 S INTERNATIONAL PARKWAY, LAKE MARY, FL 32746",Florida,Seminole County,United States,"1210 International Pkwy S, Lake Mary, FL 32746, USA",28.7559648,Lake Mary,-81.3699322,OK,,32746,,International Parkway South,1210,,28.75596:-81.36993,28.75596:-81.36993#,massage,23789,0,0
N,KICK BACK HAIR AFFAIR,16,BROWARD,fldoh@kickbackhairaffair.com,8/31/13,,27090,Null & Void,954,DEERFIELD BEACH,3452 W. HILLSBORO BLVD,,531-0670,FL,33442,,6/3/11,DEERFIELD BEACH,3452 W. HILLSBORO BLVD,FL,33442,,N,Massage Establishment,MM,3/17/14,"3452 W. HILLSBORO BLVD, DEERFIELD BEACH, FL 33442",Florida,Broward County,United States,"3452 W Hillsboro Blvd, Deerfield Beach, FL 33442, USA",26.3171773,Deerfield Beach,-80.1512971,OK,,33442,,West Hillsboro Boulevard,3452,,26.31718:-80.15130,26.31718:-80.15130#,massage,26939,0,0
N,DENIESE A DIETRICH,56,OKALOOSA,deniezeann@hotmail.com,8/31/21,,11664,CLEAR,850,FT WALTON BCH,924 924 MEADOW LANE,,315-0941,FL,32547,,1/24/02,FT WALTON BCH,924 MEADOW LANE,FL,32547,,N,Massage Establishment,MM,1/24/02,"924 MEADOW LANE, FT WALTON BCH, FL 32547",Florida,Okaloosa County,United States,"924 Meadow Ln, Fort Walton Beach, FL 32547, USA",30.4573416,Fort Walton Beach,-86.6587274,OK,,32547,1038,Meadow Lane,924,,30.45734:-86.65873,30.45734:-86.65873#,massage,10199,0,0
N,STUDIO 7,27,ESCAMBIA,awendel9@aol.com,8/31/21,,21813,CLEAR,850,PENSACOLA,1065 LANGLEY AVE,,476-5001,FL,32504,,8/12/08,PENSACOLA,5007 N DAVIES HWY,FL,32503,UNIT 7,N,Massage Establishment,MM,9/30/09,"5007 N DAVIES HWY, PENSACOLA, FL 32503",Florida,Escambia County,United States,"5007 N Davis Hwy, Pensacola, FL 32503, USA",30.4703027,Pensacola,-87.2265305,OK,Southeast Pensacola,32503,,North Davis Highway,5007,,30.47030:-87.22653,30.47030:-87.22653#,massage,20787,0,0
N,RIVAS MEDICAL CENTERS,39,HILLSBOROUGH,mari@rivasmedicalcenter.com,8/31/19,,22734,CLEAR,727,TAMPA,2707 N. HIMES AVE,,442-0677,FL,33607,,3/3/09,CLEARWATER,1450 COURT ST,FL,33756,,N,Massage Establishment,MM,3/3/09,"1450 COURT ST, CLEARWATER, FL 33756",Florida,Pinellas County,United States,"1450 Court St, Clearwater, FL 33756, USA",27.9610413,Clearwater,-82.7771208,OK,Downtown,33756,6160,Court Street,1450,,27.96104:-82.77712,27.96104:-82.77712#,massage,22263,0,0
N,STUDIO V SALON IN WINTER PARK INC,58,ORANGE,karen@studiovsalon.com,8/31/17,,26272,Null & Void,407,WINTER PARK,947 ORANGE AVE,,644-5600,FL,32789,,1/13/11,WINTER PARK,947 ORANGE AVE,FL,32789,,N,Massage Establishment,MM,3/15/18,"947 ORANGE AVE, WINTER PARK, FL 32789",Florida,Orange County,United States,"947 N Orange Ave, Orlando, FL 32801, USA",28.5902926,Orlando,-81.3601778,OK,,32801,,North Orange Avenue,947,,28.59029:-81.36018,28.59029:-81.36018#,massage,25969,0,0
N,"DR. MEL YOUNGS DC, PA",46,LEE,office@dryoungs.com,8/31/19,,16398,CLEAR,239,CAPE CORAL,916 E CAPE CORAL PKWY,,542-1422,FL,33904,,3/3/05,CAPE CORAL,916 E CAPE CORAL PKWY,FL,33904,,N,Massage Establishment,MM,3/3/05,"916 E CAPE CORAL PKWY, CAPE CORAL, FL 33904",Florida,Lee County,United States,"916 Cape Coral Pkwy E, Cape Coral, FL 33904, USA",26.562263,Cape Coral,-81.9532791,OK,Caloosahatchee,33904,,Cape Coral Parkway East,916,,26.56226:-81.95328,26.56226:-81.95328#,massage,15412,0,0
N,CHELSEA SALON AND SPA,47,LEON,sue@chelseasalon.com,8/31/21,,3110,CLEAR,850,TALLAHASSEE,1629 MAHAN CENTER BLVD,,893-5024,FL,32308,,8/28/91,TALLAHASSEE,1629 MAHAN CENTER BLVD,FL,32308,,N,Massage Establishment,MM,10/23/07,"1629 MAHAN CENTER BLVD, TALLAHASSEE, FL 32308",Florida,Leon County,United States,"1629 Mahan Center Blvd, Tallahassee, FL 32308, USA",30.4590561,Tallahassee,-84.2354123,OK,,32308,5454,Mahan Center Boulevard,1629,,30.45906:-84.23541,30.45906:-84.23541#,massage,676,0,0
N,JOHN CARL SPA,68,SARASOTA,,8/31/21,,10353,CLEAR,941,SARASOTA,1345 SECOND STREET,,330-8000,FL,34236,,7/19/00,SARASOTA,1345 SECOND STREET,FL,34236,,N,Massage Establishment,MM,3/8/01,"1345 SECOND STREET, SARASOTA, FL 34236",Florida,Sarasota County,United States,"1345 2nd St, Sarasota, FL 34236, USA",27.3384053,Sarasota,-82.5436786,OK,Downtown,34236,4903,2nd Street,1345,,27.33841:-82.54368,27.33841:-82.54368#,massage,8552,0,0
N,HAND AND STONE MASSAGE AND FACIAL SPA,69,SEMINOLE,jrichey@handandstone.com,8/31/21,,22756,CLEAR,407,WINTER SPRINGS,775 BEAR CREEK CIRCLE,,645-2772,FL,32708,,3/10/09,WINTER SPRINGS,5641 RED BUG LAKE ROAD,FL,32708,,N,Massage Establishment,MM,3/10/09,"5641 RED BUG LAKE ROAD, WINTER SPRINGS, FL 32708",Florida,Seminole County,United States,"5641 Red Bug Lake Rd, Winter Springs, FL 32708, USA",28.6467823,Winter Springs,-81.2700712,OK,,32708,5013,Red Bug Lake Road,5641,,28.64678:-81.27007,28.64678:-81.27007#,massage,21957,0,0
N,DONNA PASCOE SALON,60,PALM BEACH,donnapasco@aol.com,8/31/13,,23755,Null & Void,561,BOCA RATON,6006 SOUTHWEST 18TH STREET,,362-8993,FL,33433,BAY 7,10/5/09,BOCA RATON,6006 SOUTHWEST 18TH STREET,FL,33433,BAY 7,N,Massage Establishment,MM,3/17/14,"6006 SOUTHWEST 18TH STREET, BOCA RATON, FL 33433",Florida,Palm Beach County,United States,"6006 SW 18th St, Boca Raton, FL 33433, USA",26.3313742,Boca Raton,-80.137203,OK,,33433,,Southwest 18th Street,6006,,26.33137:-80.13720,26.33137:-80.13720#,massage,23215,0,0
N,"MASSAGE BY DEANA WOLFE, LMT",66,ST.LUCIE,deeniewolfe@aol.com,8/31/19,,23774,CLEAR,772,FORT PIERCE,6024 INDRIO ROAD,,979-2002,FL,34951,APT 3,10/7/09,VERO BEACH,1096 12TH STREET,FL,32960,,N,Massage Establishment,MM,10/7/09,"1096 12TH STREET, VERO BEACH, FL 32960",Florida,Indian River County,United States,"1096 12th St, Vero Beach, FL 32960, USA",27.6242196,Vero Beach,-80.3953893,OK,,32960,,12th Street,1096,,27.62422:-80.39539,27.62422:-80.39539#,massage,23334,0,0
