Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"KENT STATION CHIROPRACTIC & MASSAGE, PS",602 802 879,WA PROFESSIONAL SERVICE CORPORATION,"4508 AUBURN WAY N STE C, AUBURN, WA, 98002, UNITED STATES",DR. ROGER L WHITE,Administratively Dissolved
"KENT VALLEY THERAPEUTIC MASSAGE, INC.",601 788 814,WA PROFIT CORPORATION,"22007 MARINE VIEW DR S # 104, DES MOINES, WA, 98198, UNITED STATES",JOHN T JACKSON,Administratively Dissolved
KENT.MASSAGE PRO LLC,602 441 985,WA LIMITED LIABILITY COMPANY,"922 CENTRAL ANE N, KENT, WA, 98032, UNITED STATES",ARA ZOHRABIAN,Active
"KEY CENTER CHIROPRACTIC AND MASSAGE, LLC",604 370 048,WA LIMITED LIABILITY COMPANY,"9013 KEY PENINSULA HWY NW, LAKEBAY, WA, 98349-8518, UNITED STATES",NATHANIEL HOVE,Active
KEY TO RELIEF MASSAGE BOUTIQUE LLC.,603 548 133,WA LIMITED LIABILITY COMPANY,"775 NE PINECREST DR, BREMERTON, WA, 98311, UNITED STATES",JULIA SMITH,Active
"KEYSAR CENTER OF MASSAGE FOR MEDICALLY FRAGILE, LLC",603 154 050,WA LIMITED LIABILITY COMPANY,"500 W MAIN ST, SUITE D, CENTRALIA, WA, 98531-4252, UNITED STATES",KACI JONES,Active
KIEKO MASSAGE LLC,603 120 770,WA LIMITED LIABILITY COMPANY,"PO BOX 158, NUTTING LAKE, MA, 01865, UNITED STATES",EVERGREEN DOCUMENT SERVICES LLC,Administratively Dissolved
"KIM'S ELEMENTS OF MASSAGE, LLC",602 883 796,WA LIMITED LIABILITY COMPANY,"17033 CANAL RD SE, YELM, WA, 98597, UNITED STATES",KIM DOLITTLE,Inactive
KIND INTUITIVE MASSAGE LLC,604 505 503,WA LIMITED LIABILITY COMPANY,"110 LAKESIDE AVE STE B, SEATTLE, WA, 98122-6594, UNITED STATES",KIMBERLEY SWANSON,Active
"KING COUNTY LYMPHEDEMA & MASSAGE CLINIC, LLC",602 245 073,WA LIMITED LIABILITY COMPANY,,MARY ANNKURTH,Administratively Dissolved
"KING THERAPEUTIC MASSAGE, INC.",602 418 618,WA PROFIT CORPORATION,"6014 VISTA DRIVE, FERNDALE, WA, 98248, UNITED STATES",SHEILA B KING,Voluntarily Dissolved
"KINSEL THERAPEUTIC MASSAGE, PLLC",604 172 190,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"9023 20TH AVE NE, SEATTLE, WA, 98115, UNITED STATES",HELEN KINSEL,Active
"KIRKLAND CHIROPRACTIC & MASSAGE, PS",603 082 404,WA PROFESSIONAL SERVICE CORPORATION,"6515 132ND AVE NE, KIRKLAND, WA, 98033-8628, UNITED STATES",THEODORE ALAN WEDELL,Active
"KIRKLAND MARVELOUS MASSAGE THERAPY, P.L.L.C.",602 622 681,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"KIRKLAND MARVELOUS MASSAGE, P.L.L.C.",602 622 699,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"KIRKLAND MASSAGE CENTER, INC.",601 692 507,WA PROFIT CORPORATION,,MAUREEN HARNETT,Inactive
"KITSAP THERAPEUTIC MASSAGE AND LUXURY FOOT SPA, L.L.C.",602 291 769,WA LIMITED LIABILITY COMPANY,,MARIA GENT,Inactive
"KITSAP THERAPUETIC MEDICAL MASSAGE AND BODYWORK, LLC",602 564 857,WA LIMITED LIABILITY COMPANY,"4275 SE MILE HILL DR, PORT ORCHARD, WA, 98366-3934, UNITED STATES",JULENE NIKOLAC,Active
KKW MASSAGE INC,602 132 713,WA PROFIT CORPORATION,,KAREN K WAGNER,Administratively Dissolved
KLEIN MASSAGE & DAY SPA LLC,602 796 463,WA LIMITED LIABILITY COMPANY,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES",DEBORRA K. LANE,Active
KMW MASSAGE AND BODYWORK PLLC,604 357 615,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1723 100TH PL SE STE B, EVERETT, WA, 98208-3800, UNITED STATES",KEVIN WEST,Active
KNEAD MASSAGE THERAPY LLC,604 205 736,WA LIMITED LIABILITY COMPANY,"4610 S 73RD ST, TACOMA, WA, 98409-1417, UNITED STATES",KNEAD MASSAGE THERAPY,Active
"KNEADED CARE MASSAGE, LLC",604 170 151,WA LIMITED LIABILITY COMPANY,"519 W ASH ST, MCCLEARY, WA, 98557, UNITED STATES",RACHEL REESE,Delinquent
"KNEADED RELIEF THERAPEUTIC MASSAGE, LLC",603 161 162,WA LIMITED LIABILITY COMPANY,"14612 NE 37TH ST, VANCOUVER, WA, 98682, UNITED STATES",BRUCE KNUTSON,Administratively Dissolved
KNEADING GRACE MASSAGE INC,603 311 863,WA PROFIT CORPORATION,"110 N BLAKELEY ST, MONROE, WA, 98272-1823, UNITED STATES",DIANNA ATTERBURY,Active
"KNEADING HANDS MASSAGE THERAPY, L L C",602 432 650,WA LIMITED LIABILITY COMPANY,"1129 W MAIN ST, SUITE 172, MONROE, WA, 98272-2034, UNITED STATES",MONROE MEDICAL MASSAGE,Administratively Dissolved
"KNEADING MASSAGE THERAPY, LLC",602 921 254,WA LIMITED LIABILITY COMPANY,"513 1ST AVE STE 90, ZILLAH, WA, 98953, UNITED STATES",SHERRY CASTILLEJA,Inactive
KNEADY BODY & FEET MASSAGE AND WELLNESS CENTER LLC,602 768 794,WA LIMITED LIABILITY COMPANY,"14850 LAKE HILLS BLVD, B4, BELLEVUE, WA, 98007-5800, UNITED STATES",TAMMY FOSS,Active
KNOT NOW! THERAPEUTIC MASSAGE L.L.C.,604 042 165,WA LIMITED LIABILITY COMPANY,"10107 E 8TH AVE, SPOKANE VLY, WA, 99206-6933, UNITED STATES",TAYLOR HANSON,Active
"KNOTWORKS MASSAGE ,BODYWORK, AND DAY SPA LLC",602 752 205,WA LIMITED LIABILITY COMPANY,"9510 175TH ST CT E, PUYALLUP, WA, 98375, UNITED STATES",CORINA  BAILEY,Administratively Dissolved
KOI MASSAGE LLC,602 658 296,WA LIMITED LIABILITY COMPANY,"5824 188TH AVE, ROCHESTER, WA, 98579, UNITED STATES",KELLY GROSS,Inactive
"KORMONDY MASSAGE, INC.",603 197 039,WA PROFIT CORPORATION,"5902 CALIFORNIA AVE SW, SEATTLE, WA, 98136, UNITED STATES",ANDREA BAIG,Voluntarily Dissolved
KQ BODY AND FOOT MASSAGE LLC,604 024 653,WA LIMITED LIABILITY COMPANY,"25 W WELLESLEY, SPOKANE, WA, 99205, UNITED STATES",KEVIN NACCARATO,Voluntarily Dissolved
KREIDEL THERAPEUTIC MASSAGE INC. P.S.,601 816 839,WA PROFESSIONAL SERVICE CORPORATION,,KIM KREIDEL-REIMER,Administratively Dissolved
KRG MASSAGE THERAPY LLC,603 320 336,WA LIMITED LIABILITY COMPANY,"2418 BURCHAM ST, KELSO, WA, 98626, UNITED STATES",KIMBERLY  GUSTIN,Administratively Dissolved
"KRISTI CASON ESSENTIAL MASSAGE, PLLC",603 129 078,WA LIMITED LIABILITY COMPANY,"39076 SE GAMMA STREET, SNOQUALMIE, WA, 98065, UNITED STATES",LILY CASON,Administratively Dissolved
"KUNGFU FOOT MASSAGE, LLC",603 150 777,WA LIMITED LIABILITY COMPANY,"4520 LACEY BLVD SE #6, LACEY, WA, 98503, UNITED STATES",XUEJUNBAO,Administratively Dissolved
"KYLE PUTNAM MASSAGE THERAPY, LLC",604 161 776,WA LIMITED LIABILITY COMPANY,"1427 JEFFERSON AVE, SUITE B3, ENUMCLAW, WA, 98022-3649, UNITED STATES",KYLE PUTNAM,Active
L AND L MASSAGE LLC,603 281 880,WA LIMITED LIABILITY COMPANY,,L AND L MASSAGE,Voluntarily Dissolved
L SPA & MASSAGE LLC,604 298 271,WA LIMITED LIABILITY COMPANY,"13200 AURORA AVE N STE I, SEATTLE, WA, 98133-7645, UNITED STATES",HUIHONG GU,Delinquent
L&X MASSAGE AND SUPPLY LLC,603 440 129,WA LIMITED LIABILITY COMPANY,"159 W KELLOGG RD, BELLINGHAM, WA, 98226, UNITED STATES",XIAOWEI XIE,Administratively Dissolved
LA DOLCE VITA THERAPEUTIC MASSAGE L.L.C.,604 213 711,WA LIMITED LIABILITY COMPANY,"10545 SE 238TH ST APT 6, KENT, WA, 98031-3585, UNITED STATES",JONATAN E ARREOLA,Active
"LA'S THERAPEUTIC THAI & SWEDISH MASSAGE, LLC",603 490 237,WA LIMITED LIABILITY COMPANY,"821 W RAILROAD AVE, SHELTON, WA, 98584-3845, UNITED STATES",YUPIN MCLIN,Active
"LADYFINGERS MASSAGE, LLC",603 261 059,WA LIMITED LIABILITY COMPANY,,EMILY ZUKLE,Administratively Dissolved
"LAKE CHELAN MOBILE MASSAGE, PLLC",604 000 844,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"111 PRYOR DRIVE, PATEROS, WA, 98846, UNITED STATES",CHARLENE MATHEWS,Active
"LAKE SERENE MASSAGE & HEALTH SPA, INC.",602 460 321,WA PROFIT CORPORATION,"15103 HWY 99 #1, LYNNWOOD, WA, 98037, UNITED STATES",ALLEN KO,Inactive
"LAKE STEVENS MASSAGE THERAPY, INC.",602 533 032,WA PROFIT CORPORATION,"25 95TH DR NE STE 105, LAKE STEVENS, WA, 98258-7976, UNITED STATES",JOYCE  MARSH,Active
"LAKE TAPPS MASSAGE THERAPY, INC.",601 757 273,WA PROFIT CORPORATION,,TAMMY LINDA BALDWIN,Inactive
"LAKEWOOD MASSAGE CENTER, LLC",603 197 013,WA LIMITED LIABILITY COMPANY,"5920 100TH ST SW, STE 22, LAKEWOOD, WA, 98499, UNITED STATES",JENNIFER MOORHEAD,Administratively Dissolved
"LAKEWOOD THERAPEUTIC MASSAGE, INC.",602 416 930,WA PROFIT CORPORATION,"5900 100TH ST SW #16, LAKEWOOD, WA, 98499, UNITED STATES",ANN MARIE TAYLOR,Inactive
"LANGLEY THERAPEUTIC MASSAGE, LLC",602 975 092,WA LIMITED LIABILITY COMPANY,"350 MANCHESTER WAY F2, LANGLEY, WA, 98260, UNITED STATES",STACYBORA,Inactive
"LAO SHAN MASSAGE, LLC",603 361 966,WA LIMITED LIABILITY COMPANY,"11516 SE MILL PLAIN BLVD 2B, VANCOUVER, WA, 98684, UNITED STATES",LIJING HUANG,Administratively Dissolved
LAROCK MASSAGE THERAPY LLC,602 972 108,WA LIMITED LIABILITY COMPANY,"5824 HANNAH PIERCE RD W, APT A, UNIVERSITY PLACE, WA, 98467, UNITED STATES",MICHELLE LAROCK,Inactive
LASHES & MASSAGE LLC,603 381 927,WA LIMITED LIABILITY COMPANY,"18223 9TH ST E #B, BONNEY LAKE, WA, 98391, UNITED STATES",ERIKA CASS,Active
LAURA ADAMS MASSAGE SERVICES LLC,604 035 192,WA LIMITED LIABILITY COMPANY,"4707 94TH PL NE, MARYSVILLE, WA, 98270, UNITED STATES",LAURA ADAMS,Delinquent
"LAURA LOU MASSAGE, LIMITED LIABILITY COMPANY",604 457 217,WA LIMITED LIABILITY COMPANY,"8361 22ND ST NE, LAKE STEVENS, WA, 98258-6483, UNITED STATES",LAURA THORENSEN,Active
LAURAL LIVING MASSAGE LLC,603 038 245,WA LIMITED LIABILITY COMPANY,,LAURAL  CASAL,Inactive
"LAUREN FREEMAN MASSAGE, LLC",604 386 854,WA LIMITED LIABILITY COMPANY,"1110 W ILLINIOS ST, BELLINGHAM, WA, 98225-1653, UNITED STATES",LAUREN FREEMAN,Active
"LAUREN SILVERNAIL, LICENSED MASSAGE PRACTITIONER, LLC",603 040 990,WA LIMITED LIABILITY COMPANY,"10838 MAIN STREET, BELLEVUE, WA, 98004, UNITED STATES",LAUREN SILVERNAIL,Inactive
LAVENDER MASSAGE CORP,604 144 112,WA PROFIT CORPORATION,"1634 S 312TH ST #102, FEDERAL WAY, WA, 98003, UNITED STATES",COMPETENT CPA SERVICES,Active
"LAVENDERA MASSAGE, LLC",603 416 550,WA LIMITED LIABILITY COMPANY,"285 SPRING ST, STE 2645, FRIDAY HARBOR, WA, 98250, UNITED STATES",RICHARD DAVENPORT,Active
LEE'S MASSAGE CENTER INC,603 046 692,WA PROFIT CORPORATION,"14040 NE 8TH ST STE 313, BELLEVUE, WA, 98007, UNITED STATES",JEAN CHOU,Inactive
LEENA MASSAGE INC.,603 458 614,WA PROFIT CORPORATION,"5210 ROOSEVELT WY #C, SEATTLE, WA, 98105, UNITED STATES",HONG HUA JIN,Administratively Dissolved
"LESLIE LOO LMP MASSAGE, PLLC",603 274 918,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"615 COMMERCE ST STE 206, TACOMA, WA, 98402, UNITED STATES",DAVIES PEARSON PC,Administratively Dissolved
LEVEL UP MASSAGE LLC,604 338 994,WA LIMITED LIABILITY COMPANY,"1215 N 90TH ST, APT 102, SEATTLE, WA, 98103-4075, UNITED STATES",TAYLER KURTZMAN,Active
LEXI'S TAIL WAGGIN' MASSAGE LLC,604 327 884,WA LIMITED LIABILITY COMPANY,"48424 284TH AVE SE, ENUMCLAW, WA, 98022-7370, UNITED STATES",ALEXIS SCOTT,Active
LH FOOT CARE & MASSAGE LLC,603 316 215,WA LIMITED LIABILITY COMPANY,"15830 1ST AVE S, BURIEN, WA, 98148, UNITED STATES",HANG LIU,Administratively Dissolved
LH FOOT MASSAGE LLC,603 555 198,WA LIMITED LIABILITY COMPANY,"31501 PACIFIC HWY S, FEDERAL WAY, WA, 98003, UNITED STATES",BAICHAO LIU,Administratively Dissolved
LH MASSAGE LLC,603 529 047,WA LIMITED LIABILITY COMPANY,"23301 PACIFIC HIGHWAY S, KENT, WA, 98032, UNITED STATES",XUEYUNDING,Administratively Dissolved
LH MASSAGE LLC,604 215 675,WA LIMITED LIABILITY COMPANY,"23301 PACIFIC HWY S, KENT, WA, 98032-2704, UNITED STATES",LH MASSAGE LLC,Administratively Dissolved
LI ASIAN MASSAGE LLC,604 376 739,WA LIMITED LIABILITY COMPANY,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES",WENXIA LI,Active
LI FAMILY MASSAGE LLC,604 008 192,WA LIMITED LIABILITY COMPANY,"1223 NE 65TH ST, SEATTLE, WA, 98115-6723, UNITED STATES",ZHENHUA LI,Delinquent
LICENSED TO HEAL MASSAGE & SPA SERVICES LLC,603 339 369,WA LIMITED LIABILITY COMPANY,"2907 HARRISON AVE, CENTRALIA, WA, 98531-9356, UNITED STATES",TRACY BAUM,Active
LIFANG HEALTHY MASSAGE LLC,604 059 901,WA LIMITED LIABILITY COMPANY,"3225 HARRISON AVE NW, OLYMPIA, WA, 98502-6505, UNITED STATES",LIFANG LIU,Active
"LIFE CHANGES MASSAGE THERAPY, INC.",602 124 968,WA PROFIT CORPORATION,,P A HAIGHT,Inactive
LIFE CYCLE MASSAGE LLC,604 404 639,WA LIMITED LIABILITY COMPANY,"19911 14TH AVE E, SPANAWAY, WA, 98387-8111, UNITED STATES",NICHOLLE JIGGETTS,Active
"LIFE'S ESCAPE MASSAGE THERAPY, LLC",602 483 286,WA LIMITED LIABILITY COMPANY,,KARA BFAUBION,Administratively Dissolved
LIFECARE THERAPEUTIC MASSAGE AND HEALTH CLINIC LLC,603 236 925,WA LIMITED LIABILITY COMPANY,"7981 168TH AVE NE SUITE 140, REDMOND, WA, 98052, UNITED STATES",WILLIAM T KELLEY,Administratively Dissolved
"LIFESTYLE CHIROPRACTIC AND MASSAGE, PLLC",603 313 144,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"134 KEENE RD, RICHLAND, WA, 99352-8683, UNITED STATES",PAUL E DODSON,Active
"LIFESTYLES THERAPEUTIC MASSAGE CENTER, LLC",603 028 959,WA LIMITED LIABILITY COMPANY,"1106 HARRIS AVENUE, #307, BELLINGHAM, WA, 98225, UNITED STATES",KARLENE WINCHESTER,Administratively Dissolved
"LIGHTHOUSE MASSAGE, LLC",602 835 294,WA LIMITED LIABILITY COMPANY,"129 GOLDENEYE ST S, OCEAN SHORES, WA, 98569, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Inactive
LILIY FOOT MASSAGE LLC,603 554 408,WA LIMITED LIABILITY COMPANY,"4822 PACIFIC AVE STE A, TACOMA, WA, 98408, UNITED STATES",LIANG SHI,Administratively Dissolved
"LILLI'S MARVELOUS MASSAGE THERAPY, P.L.L.C.",602 622 723,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"LILLI'S MARVELOUS MASSAGE, P.L.L.C.",602 622 721,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
LILY FOOT MASSAGE LLC,603 157 297,WA LIMITED LIABILITY COMPANY,"12712 ADMIRALTY WAY #E301, EVERETT, WA, 98204, UNITED STATES",YONGHANG XU,Administratively Dissolved
LIMBER LEAVES MASSAGE THERAPY LLC,603 092 025,WA LIMITED LIABILITY COMPANY,"530 N MISSION ST, WENATCHEE, WA, 98801, UNITED STATES",SHARON B TURCOTTE,Administratively Dissolved
LIN MASSAGE LLC,604 428 950,WA LIMITED LIABILITY COMPANY,"5218 SOUTH TACOMA WAY, TACOMA, WA, 98409-4319, UNITED STATES",ALAN TENG,Active
"LINDSEY CORNWELL MASSAGE, LLC",602 893 346,WA LIMITED LIABILITY COMPANY,"24922 KIMRE PL NE, KINGSTON, WA, 98346, UNITED STATES",LINDSEY CORNWELL,Administratively Dissolved
"LIPPERTS MASSAGE THERAPY, INC.",602 046 018,WA PROFIT CORPORATION,"111 ELBERTA AVE, CASHMERE, WA, 98815-1005, UNITED STATES",DENNIS O. WEBB,Active
"LISSETTE MASSAGE, LLC",603 095 730,WA LIMITED LIABILITY COMPANY,"6314 19TH ST W STE 7, FIRCREST, WA, 98466-6223, UNITED STATES",LISA CLARK ,Active
LITTLE FEETS MASSAGE LLC,604 338 445,WA LIMITED LIABILITY COMPANY,"10011 BRIDGEPORT WAY SW STE 1100, LAKEWOOD, WA, 98499-2368, UNITED STATES",LI YAO,Voluntarily Dissolved
LIVE FREE MASSAGE AND WELLNESS LLC,603 516 963,WA LIMITED LIABILITY COMPANY,"5620 NE GHER RD STE I, VANCOUVER, WA, 98662, UNITED STATES",SHEALYN GRANT,Administratively Dissolved
"LIVE FREE MASSAGE, LLC",604 112 127,WA LIMITED LIABILITY COMPANY,"2607 BRIDGEPORT WAY W, SUITE 2F, UNIVERSITY PL, WA, 98466-4700, UNITED STATES",MILA GREGORY,Active
"LIVING MASSAGE, LLC",603 002 206,WA LIMITED LIABILITY COMPANY,"17908 15TH AVE NE, SHORELINE, WA, 98155, UNITED STATES",DANIELLE T SCROGGS,Active
"LIVING WATERS MASSAGE, LLC",603 100 189,WA LIMITED LIABILITY COMPANY,"17311 135TH AVENUE NE, SUITE B-800, WOODINVILLE, WA, 98072, UNITED STATES",TAMARA MAHONEY,Administratively Dissolved
"LIVING WELL CHIROPRACTIC & MASSAGE, INC.",603 431 663,WA PROFIT CORPORATION,"200 WINSLOW WAY W UNIT H, BAINBRIDGE IS, WA, 98110-4929, UNITED STATES",BRIAN KOVARA,Active
"LIVING WELL MASSAGE THERAPY, INC.",603 077 720,WA PROFIT CORPORATION,"10501 CREEK ST SE STE 7, YELM, WA, 98597-9805, UNITED STATES","LIVING WELL MASSAGE THERAPY, INC.",Active
"LLH FOOT MASSAGE, LLC",603 291 737,WA LIMITED LIABILITY COMPANY,"23301 PACIFIC HWY S, KENT, WA, 98032-2704, UNITED STATES",LI PING CHENG,Administratively Dissolved
"LOKAHI OHANA SPA, INC.",602 921 230,WA PROFIT CORPORATION,"51 W DAYTON ST, SUITE 304, EDMONDS, WA, 98020-4111, UNITED STATES",MARISA LANG,Active
"LOKAHI THERAPEUTIC MASSAGE AND BODYWORK, LLC",603 157 736,WA LIMITED LIABILITY COMPANY,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES","CINDI NAGATO, LMP",Active
LOMI MASSAGE 2018 LLC,604 383 876,WA LIMITED LIABILITY COMPANY,"1116 N NORTHGATE WAY, SEATTLE, WA, 98133-8914, UNITED STATES",GRACE WANG,Active
LOMI MASSAGE CORP,604 277 648,WA PROFIT CORPORATION,"1116 N NORTHGATE WAY, SEATTLE, WA, 98133-8914, UNITED STATES",GRACE WANG,Voluntarily Dissolved
LONG LIFE MASSAGE LLC,604 296 507,WA LIMITED LIABILITY COMPANY,"17208 BOTHELL WAY NE, BOTHELL, WA, 98011-1954, UNITED STATES",HONG JUAN ZHANG,Voluntarily Dissolved
"LONGEVITY THERAPEUTIC MASSAGE, LLC",604 217 136,WA LIMITED LIABILITY COMPANY,"27238 CHURCH CREEK LOOP NW, STANWOOD, WA, 98292-7448, UNITED STATES","LONGEVITY THERAPEUTIC MASSAGE, LLC",Active
LONGLIFE MASSAGE AND SPA LLC,602 810 412,WA LIMITED LIABILITY COMPANY,"21511 88TH AVENUE WEST, EDMONDS, WA, 98026-7311, UNITED STATES",AIDI ZHANG-NELSON,Administratively Dissolved
"LOTUS & STONE MASSAGE, PLLC",604 397 254,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"13338 10TH AVE NE, SEATTLE, WA, 98125-3914, UNITED STATES",BRIANNA PITSCH,Active
LOTUS FOOT MASSAGE LLP,603 430 655,WA LIMITED LIABILITY PARTNERSHIP,"14314 GREENWOOD AVE N STE B, SEATTLE, WA, 98133, UNITED STATES",BUSINESS FILINGS INCORPORATED,Delinquent
LOTUS MASSAGE LLC,602 989 499,WA LIMITED LIABILITY COMPANY,"1207 1/2 W DALTON, SPOKANE, WA, 99205, UNITED STATES",ARIEL KEENEY,Administratively Dissolved
LOTUS MASSAGE THERAPY LLC,603 296 691,WA LIMITED LIABILITY COMPANY,"4630 MLK JR WAY S, SEATTLE, WA, 98108-2135, UNITED STATES",THUAN V NGUYEN,Active
"LOTUS MASSAGE UNLIMITED, INC.",601 305 310,WA PROFIT CORPORATION,"6790 MURRAY AVE SW, APT 6, SEATTLE, WA, 98136-1759, UNITED STATES",ELISE KLOTER,Active
LOWER VALLEY SCHOOL OF MASSAGE L.L.C.,602 530 367,WA LIMITED LIABILITY COMPANY,"211 EUCLID, GRANDVIEW, WA, 98930, UNITED STATES",SUNEE CONKLIN,Inactive
"LUCASROSE MASSAGE THERAPY, INC.",602 276 943,WA PROFIT CORPORATION,,RACHEL KILAYKO,Inactive
LUCKY 78 MASSAGE LLC,604 446 605,WA LIMITED LIABILITY COMPANY,"1503 NE 78TH ST STE 11, VANCOUVER, WA, 98665-9676, UNITED STATES",HUIFEN DUAN,Active
LUNA EQUINE MASSAGE LLC,604 383 672,WA LIMITED LIABILITY COMPANY,"18005 FREMONT AVE N, SHORELINE, WA, 98133-4339, UNITED STATES",SANDRA CLINTON,Active
"LUNA MASSAGE, LLC",604 267 428,WA LIMITED LIABILITY COMPANY,"7702 MOON VALLEY RD SE, NORTH BEND, WA, 98045-7929, UNITED STATES",JENNI GANT,Active
M FOOT MASSAGE LLC,604 207 895,WA LIMITED LIABILITY COMPANY,"4050 PACIFIC AVE, TACOMA, WA, 98418-7830, UNITED STATES",ALICE SHEN,Active
M&B MASSAGE LLC,603 271 190,WA LIMITED LIABILITY COMPANY,"1890 BARNES BLVD SW, TUMWATER, WA, 98512-1435, UNITED STATES",CHANTEL BASTIN,Active
"M:E.L.T. MASSAGE, LLC",603 317 864,WA LIMITED LIABILITY COMPANY,"STUDIO 91, 404-91ST AVE NE, LAKE STEVENS, WA, 98258, UNITED STATES",MICHELLE SULLIVAN LMP,Administratively Dissolved
MACKLIN MASSAGE INC.,602 968 347,WA PROFIT CORPORATION,"4512 SW FRONTENAC ST, SEATTLE, WA, 98136, UNITED STATES",KARINA  MACKLIN,Administratively Dissolved
MACMILLAN ACUPUNCTURE & MASSAGE LLC,603 520 247,WA LIMITED LIABILITY COMPANY,"2319 N 45TH ST #305, SEATTLE, WA, 98103, UNITED STATES",THERESA MACMILLAN,Administratively Dissolved
"MADELINE'S MASSAGE, INC.",602 825 179,WA PROFIT CORPORATION,"10218 NW 3RD AVE, VANCOUVER, WA, 98685-5271, UNITED STATES",SCOTT BEAUVAIS,Active
MADISON VALLEY MASSAGE CLINIC LLC,602 665 024,WA LIMITED LIABILITY COMPANY,"636 LAKE WASHINGTON BLVD, SEATTLE, WA, 98122, UNITED STATES",CHRISANN RAUSCHENBACH,Administratively Dissolved
MAGIC FOOT MASSAGE INC,603 279 945,WA PROFIT CORPORATION,"7903 W GRAND RIDGE BLVD STE L, KENNEWICK, WA, 99336, UNITED STATES",JEAN CHOU,Administratively Dissolved
"MAGIC TOUCH MASSAGE, LLC",602 692 830,WA LIMITED LIABILITY COMPANY,"3500 S MERIDIAN, PUYALLUP, WA, 98375, UNITED STATES",CINDY L SCHIPPER HOUSE,Administratively Dissolved
MAGNIFICENT MASSAGE BODY WORK LLC,603 321 578,WA LIMITED LIABILITY COMPANY,"10217 144TH STREET, PUYALLUP, WA, 98374, UNITED STATES",BARRY COONEY,Administratively Dissolved
"MAGNOLIA CHIROPRACTIC AND MASSAGE, LLC",602 986 325,WA LIMITED LIABILITY COMPANY,"3150 W GOVERNMENT WAY, #A2, SEATTLE, WA, 98199-1459, UNITED STATES",JOSHUA PENNER,Active
"MAHALO HEALTH MASSAGE, LLC",603 068 706,WA LIMITED LIABILITY COMPANY,"204 S. 348TH ST, STE 1, FEDERAL WAY, WA, 98003, UNITED STATES",LEILANI COX-POLK,Administratively Dissolved
"MAIRE, MASSAGE FOR LIFE, LLC",603 445 211,WA LIMITED LIABILITY COMPANY,"4031 MANASTASH RD, ELLENSBURG, WA, 98926, UNITED STATES",DAWN CONYERS,Active
MAJORS MASSAGE & BODYWORKS LLC,604 138 572,WA LIMITED LIABILITY COMPANY,"2507 SUNSET DRIVE W, UNIVERSITY PLACE, WA, 98466, UNITED STATES",TANESHA HOWE,Administratively Dissolved
"MAKE TIME FOR YOU MASSAGE, LLC",602 634 658,WA LIMITED LIABILITY COMPANY,"1404 196TH STREET COURT EAST, SPANAWAY, WA, 98387, UNITED STATES",DANITA JEFFERSON,Administratively Dissolved
"MALL MASSAGE, LLC",602 448 420,WA LIMITED LIABILITY COMPANY,"2528 E GRAND AVE STE 1, EVERETT, WA, 98201, UNITED STATES",STEPHEN L LANDESS,Inactive
MANA MASSAGE & SPA LLC,602 755 905,WA LIMITED LIABILITY COMPANY,"12138 MUKILTEO SPEEDWAY, MUKILTEO, WA, 98275, UNITED STATES",MICHELE DIPOLITO,Inactive
"MANDALA MOUNTAIN MASSAGE THERAPY, LLC",604 232 566,WA LIMITED LIABILITY COMPANY,"3837 S 12TH ST, TACOMA, WA, 98405-2138, UNITED STATES",KAYLEE CASTILLO,Active
"MANUELA EGOLF MASSAGE THERAPY, LLC",603 247 729,WA LIMITED LIABILITY COMPANY,"205 CLARK PLACE SE, TUMWATER, WA, 98501, UNITED STATES",MANUELA EGOLF,Administratively Dissolved
"MAPLE VALLEY CHIROPRACTIC AND MASSAGE, P.S.",603 133 292,WA PROFESSIONAL SERVICE CORPORATION,"23220 MAPLE VALLEY BLACK DIAMOND RD SE STE 13, MAPLE VALLEY, WA, 98038-8249, UNITED STATES",DR RYAN DONOVAN DC,Active
MAPLE VALLEY MASSAGE AND ESTHETICS PLLC,603 449 625,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"23836 222ND PL SE #104, MAPLE VALLEY, WA, 98038, UNITED STATES",DANIEL J NEILSEN,Administratively Dissolved
